2,000	2,000	CD
fetuses	fetus	NNS
found	find	VBD
hidden	hide	VBN
at	at	IN
Thai	Thai	NNP
Buddhist	Buddhist	NNP
temple	temple	NN
http://FakeURL	http://fakeurl	URL
via	via	IN
@FakeUsername	@fakeusername	USR

870	870	CD
,	,	,
000	000	CD
people	people	NNS
in	in	IN
canada	canada	NNP
depend	depend	VBP
on	on	IN
#FakeHashtag	#fakehashtag	HT
-25%	-25%	CD
increase	increase	NN
in	in	IN
the	the	DT
last	last	JJ
2	2	CD
years	year	NNS
-	-	:
please	please	VB
give	give	VB
generously	generously	RB

7961212234	7961212234	CD
,	,	,
phone	phone	NN
this	this	DT
girl	girl	NN
!	!	.
she	she	PRP
is	be	VBZ
like	like	IN
louis	loui	NNP
biggest	biggest	JJS
fan	fan	NN
!	!	.
<	<	SYM
3	3	CD
@FakeUsername	@fakeusername	USR
live	live	VB
on	on	IN
http://FakeURL	http://fakeurl	URL
)	)	)

@FakeUsername	@FakeUsername	USR
:	:	:
WikiLeaks	WikiLeaks	NNP
Set	set	NNP
To	to	TO
Reveal	reveal	VB
US-UFO	US-UFO	NNP
War	War	NNP
In	in	IN
Southern	Southern	NNP
Ocean	Ocean	NNP
:	:	:
http://FakeURL	http://fakeurl	URL
)	)	)
I'm	i'm	VBP
a	a	DT
huge	huge	JJ
fan	fan	NN
of	of	IN
@FakeUsername	@FakeUsername	USR
bt	bt	CC
this	this	DT
is	be	VBZ
wrong	wrong	JJ

@FakeUsername	@fakeusername	USR
queen	queen	NN
,	,	,
bohemian	bohemian	JJ
rhapsody	rhapsody	NN
please	please	VB

cheryl	cheryl	NNP
cole	cole	NNP
is	be	VBZ
starting	start	VBG
to	to	TO
lose	lose	VB
that	that	DT
connection	connection	NN
with	with	IN
me	I	PRP
!	!	.
But	but	CC
Danni	Danni	NNP
has	have	VBZ
maintained	maintain	VBN
the	the	DT
steady	steady	JJ
eddie	eddie	NNP
feel	feel	VBP
to	to	TO
me	I	PRP
!!?	!!?	.
