life	O	life	NN
is	O	be	VBZ
worth	O	worth	JJ
living	O	living	VBG
and	O	and	CC
your	O	you	PRP$
belief	O	belief	NN
will	O	will	MD
help	O	help	VB
create	O	create	VB
the	O	the	DT
fact	O	fact	NN
.	O	.	0
William	B-PER	William	NNP
James	I-PER	James	NNP
#FakeHashtag	O	#fakehashtag	HT
			
Ben	B-PER	Ben	NNP
Affleck	I-PER	Affleck	NNP
to	O	to	TO
Direct	O	Direct	NNP
New	O	New	NNP
Movie	O	movie	NNP
!	O	!	0
:	O	:	:
The	O	the	DT
actor	O	actor	NN
,	O	,	,
who	O	who	WP
won	O	win	VBD
huge	O	huge	JJ
critical	O	critical	JJ
acclaim	O	acclaim	NN
with	O	with	IN
his	O	he	PRP$
directing	O	direct	VBG
skills	O	skill	NNS
for	O	for	IN
?	O	,	0
The	O	the	DT
To	O	to	TO
...	O	...	:
http://FakeURL	O	http://fakeurl	URL
			
Ben	B-PER	Ben	NNP
Rothlisberger	I-PER	Rothlisberger	NNP
is	O	be	VBZ
about	O	about	IN
to	O	to	TO
RAPE	O	rape	VB
this	O	this	DT
Jets	B-ORG	jet	NNS
defense	O	defense	NN
lmao	O	lmao	UH
			
Bertuccis	B-ORG	Bertuccis	NNP
bread	O	Bread	NN
and	O	and	CC
oil	O	OIL	NN
=	O	=	SYM
orgasmic	O	orgasmic	JJ
			
Best	O	best	JJS
Tweets	O	Tweets	NNS
:	O	:	:
TSA	O	TSA	NNP
Body-Scanning	O	Body-Scanning	NNP
Edition	O	Edition	NNP
http://FakeURL	O	http://fakeurl	URL
by	O	by	IN
Erik	B-PER	Erik	NNP
Hayden	I-PER	Hayden	NNP
@FakeUsername	O	@fakeusername	USR
			
Big	O	big	JJ
boss	O	Boss	NN
man	O	man	NN
by	O	by	IN
noahgraham	B-PER	noahgraham	NNP
via	O	via	IN
#FakeHashtag	O	#fakehashtag	HT
http://FakeURL	O	http://fakeurl	URL
			
big	O	big	JJ
daddy	O	daddy	NN
Khali	B-PER	Khali	NNP
is	O	be	VBZ
the	O	the	DT
name	O	name	NN
.	O	.	0
			
BIG	O	big	JJ
game	O	game	NN
today	O	today	NN
.	O	.	0
Pats	B-ORG	Pats	NNP
vs	O	vs	IN
Colts	B-ORG	Colts	NNP
!!!!	O	!!!!	0
Love	O	love	VB
watching	O	watch	VBG
Peyton	B-PER	Peyton	NNP
and	O	and	CC
Brady	B-PER	brady	NNP
go	O	go	VBP
at	O	at	IN
it	O	it	PRP
!!!	O	!!!	0
I	O	I	PRP
got	O	get	VBD
the	O	the	DT
Pats	B-ORG	Pats	NNP
in	O	in	IN
this	O	this	DT
game	O	game	NN
			
BIG	O	big	JJ
JOHN	B-PER	John	NNP
ABRAHAM	I-PER	ABRAHAM	NNP
BABY	O	baby	NN
!!!!!	O	!!!!!	0
I	O	I	PRP
love	O	love	VBP
it	O	it	PRP
!!	O	!!	0
			
Big	O	big	JJ
Screen	O	screen	NN
