2,000	O
fetuses	O
found	O
hidden	O
at	O
Thai	B-LOC
Buddhist	I-LOC
temple	I-LOC
http://FakeURL	O
via	O
@FakeUsername	O

870	O
,	O
000	O
people	O
in	O
canada	B-LOC
depend	O
on	O
#FakeHashtag	O
-25%	O
increase	O
in	O
the	O
last	O
2	O
years	O
-	O
please	O
give	O
generously	O

7961212234	O
,	O
phone	O
this	O
girl	O
!	O
she	O
is	O
like	O
louis	B-PER
biggest	O
fan	O
!	O
<	O
3	O
@FakeUsername	O
live	O
on	O
http://FakeURL	O
)	O

@FakeUsername	O
:	O
WikiLeaks	B-ORG
Set	O
To	O
Reveal	O
US-UFO	O
War	O
In	O
Southern	B-LOC
Ocean	I-LOC
:	O
http://FakeURL	O
)	O
I'm	O
a	O
huge	O
fan	O
of	O
@FakeUsername	O
bt	O
this	O
is	O
wrong	O

@FakeUsername	O
queen	B-ORG
,	O
bohemian	O
rhapsody	O
please	O

cheryl	B-PER
cole	I-PER
is	O
starting	O
to	O
lose	O
that	O
connection	O
with	O
me	O
!	O
But	O
Danni	B-PER
has	O
maintained	O
the	O
steady	O
eddie	B-PER
feel	O
to	O
me	O
!!?	O
What	O
you	O
think	O
?	O

Lester	B-ORG
,	O
''	O
Mason	B-MISC
&	I-MISC
Begg	I-MISC
Limited	I-MISC
:	O
''	O
''	O
`Forbidden	O
Fruit	O
'	O
calls	O
on	O
all	O
of	O
us	O
to	O
examine	O
the	O
long	O
history	O
of	O
censoring	O
ideas	O
''	O
''	O
http://FakeURL	O
''	O

To	O
be	O
successful	O
,	O
you	O
have	O
to	O
have	O
your	O
heart	O
in	O
your	O
business	O
,	O
and	O
your	O
business	O
in	O
your	O
heart	O
.	O
Thomas	B-PER
Watson	I-PER
,	O
Sr.	O

Sanchez	B-PER
looks	O
like	O
Eli	B-PER
Wallach	I-PER
in	O
The	B-MISC
Good	I-MISC
,	I-MISC
The	I-MISC
Bad	I-MISC
and	I-MISC
the	I-MISC
Ugly	I-MISC
with	O
that	O
facial	O
scruff	O
.	O

@FakeUsername	O
the	O
history	O
of	O
the	O
mayor	O
,	O
the	O
city	O
.	O

`Entertainment	O
Tonight	I-MISC
'	O
creator	O
dies	O
at	O
80	O
-	O
Yahoo	B-ORG
!	I-ORG
News	I-ORG
http://FakeURL	O

`The	O
truth	O
will	O
always	O
win	O
'	O
-	O
Julian	B-PER
Assange	I-PER
writes	O
#FakeHashtag	O

@FakeUsername	O
:	O
The	B-MISC
Day	I-MISC
After	I-MISC
in	O
#FakeHashtag	O
#FakeHashtag	O
(	O
Broadway	B-LOC
&	I-LOC
4th	I-LOC
Street	I-LOC
)	O
http://FakeURL	O
(	O
via	O
@FakeUsername	O
)	O
''	O

@FakeUsername	O
:	O
No	O
equal	O
pay	O
for	O
women	O
,	O
no	O
unemployment	O
benefits	O
,	O
no	O
repeal	O
of	O
DADT	O
,	O
No	O
,	O
No	O
,	O
No	O
SS	O
,	O
no	O
medicare	O
#FakeHashtag	O
''	O

@FakeUsername	O
:	O
The	O
beautiful	O
empty	O
streets	O
of	O
Beirut	B-LOC
\*	O
sigh	O
\*	O
''	O
(=	O
=	O
panoramic	O
view	O
;)	O
#FakeHashtag	O
#FakeHashtag	O

@FakeUsername	O
