2000	O	CD
fetuses	O	NNS
found	O	VBD
hidden	O	VBN
at	O	IN
Thai	B-LOC	NNP
Buddhist	I-LOC	NNP
temple	I-LOC	NN
http://FakeURL	O	URL
via	O	IN
@FakeUsername	O	USR
		
870	O	CD
,	O	,
0	O	CD
people	O	NNS
in	O	IN
canada	B-LOC	NNP
depend	O	VBP
on	O	IN
#FakeHashtag	O	HT
-25.00%	O	CD
increase	O	NN
in	O	IN
the	O	DT
last	O	JJ
2	O	CD
years	O	NNS
-	O	:
please	O	VB
give	O	VB
generously	O	RB
		
7961212234	O	CD
,	O	,
phone	O	NN
this	O	DT
girl	O	NN
!	O	0
she	O	PRP
is	O	VBZ
like	O	IN
louis	B-PER	NNP
biggest	O	JJS
fan	O	NN
!	O	0
<	O	SYM
3	O	CD
@FakeUsername	O	USR
live	O	VB
on	O	IN
http://FakeURL	O	URL
)	O	)
		
@FakeUsername	O	USR
:	O	:
WikiLeaks	B-ORG	NNP
Set	O	NNP
To	O	TO
Reveal	O	VB
US-UFO	O	NNP
War	O	NNP
In	O	IN
Southern	B-LOC	NNP
Ocean	I-LOC	NNP
:	O	:
http://FakeURL	O	URL
)	O	)
I'm	O	VBP
a	O	DT
huge	O	JJ
fan	O	NN
of	O	IN
@FakeUsername	O	USR
bt	O	CC
this	O	DT
is	O	VBZ
wrong	O	JJ
		
@FakeUsername	O	USR
queen	B-ORG	NN
,	O	,
bohemian	O	JJ
rhapsody	O	NN
please	O	VB
		
cheryl	B-PER	NNP
cole	I-PER	NNP
is	O	VBZ
starting	O	VBG
to	O	TO
lose	O	VB
that	O	DT
connection	O	NN
with	O	IN
me	O	PRP
!	O	0
But	O	CC
Danni	B-PER	NNP
has	O	VBZ
maintained	O	VBN
the	O	DT
steady	O	JJ
eddie	B-PER	NNP
feel	O	VBP
to	O	TO
me	O	PRP
!!?	O	0
What	O	WP
you	O	PRP
think	O	VBP
?	O	0
		
Lester	B-ORG	NNP
,	O	,
''	O	''
Mason	B-MISC	NNP
&	I-MISC	CC
Begg	I-MISC	NNP
Limited	I-MISC	NNP
:	O	0
''	O	''
''	O	''
`Forbidden	O	NNP
Fruit	O	NNP
'	O	POS
calls	O	NNS
on	O	IN
all	O	DT
of	O	IN
us	O	PRP
to	O	TO
examine	O	VB
the	O	DT
long	O	JJ
history	O	NN
of	O	IN
censoring	O	VBG
ideas	O	NNS
''	O	0
''	O	''
http://FakeURL	O	URL
''	O	''
		
To	O	TO
be	O	VB
successful	O	JJ
,	O	,
you	O	PRP
have	O	VBP
to	O	TO
have	O	VB
your	O	PRP$
heart	O	NN
in	O	IN
your	O	PRP$
business	O	NN
,	O	,
and	O	CC
your	O	PRP$
business	O	NN
in	O	IN
your	O	PRP$
heart	O	NN
0	O	0
Thomas	B-PER	NNP
Watson	I-PER	NNP
,	O	,
Sr.	O	NNP
		
Sanchez	B-PER	NNP
looks	O	VBZ
like	O	IN
Eli	B-PER	NNP
Wallach	I-PER	NNP
in	O	IN
The	B-MISC	DT
Good	I-MISC	JJ
,	I-MISC	,
The	I-MISC	DT
Bad	I-MISC	JJ
and	I-MISC	CC
the	I-MISC	DT
Ugly	I-MISC	JJ
with	O	IN
that	O	DT
facial	O	JJ
scruff	O	NN
0	O	0
		
@FakeUsername	O	USR
the	O	DT
history	O	NN
of	O	IN
the	O	DT
mayor	O	NN
,	O	,
the	O	DT
city	O	NNP
0	O	0
		
`Entertainment	O	NN
Tonight	I-MISC	NN
'	O	''
creator	O	NN
dies	O	VBZ
at	O	IN
80	O	CD
-	O	:
Yahoo	B-ORG	NNP
!	I-ORG	0
News	I-ORG	NNP
http://FakeURL	O	URL
		
`The	O	NNP
truth	O	NN
will	O	MD
always	O	RB
win	O	NNP
'	O	POS
-	O	:
Julian	B-PER	NNP
Assange	I-PER	NNP
writes	O	VBZ
#FakeHashtag	O	HT
		
@FakeUsername	O	USR
:	O	:
The	B-MISC	DT
Day	I-MISC	NN
After	I-MISC	IN
in	O	IN
#FakeHashtag	O	HT
#FakeHashtag	O	HT
(	O	(
Broadway	B-LOC	NNP
&	I-LOC	CC
4th	I-LOC	JJ
Street	I-LOC	NN
)	O	)
http://FakeURL	O	URL
(	O	(
via	O	IN
@FakeUsername	O	USR
)	O	)
''	O	''
		
@FakeUsername	O	USR
:	O	:
No	O	DT
equal	O	JJ
pay	O	NN
for	O	IN
women	O	NNS
,	O	,
no	O	DT
unemployment	O	NN
benefits	O	NNS
,	O	,
no	O	DT
repeal	O	NN
of	O	IN
DADT	O	NNP
,	O	,
No	O	NNP
,	O	,
No	O	NNP
,	O	,
No	O	DT
SS	O	NNP
,	O	,
no	O	DT
medicare	O	NN
#FakeHashtag	O	HT
''	O	''
		
@FakeUsername	O	USR
:	O	:
The	O	DT
beautiful	O	JJ
empty	O	JJ
streets	O	NNS
of	O	IN
Beirut	B-LOC	NNP
\*	O	SYM
sigh	O	NN
\*	O	SYM
''	O	''
(=	O	UH
=	O	UH
panoramic	O	JJ
view	O	NN
;)	O	UH
#FakeHashtag	O	HT
#FakeHashtag	O	HT
		
@FakeUsername	O	USR
:	O	:
Iran	B-LOC	NNP
sets	O	VBZ
February	O	NNP
trial	O	NN
date	O	NN
for	O	IN
3	O	CD
Americans	O	NNS
-	O	:
AP	O	NNP
http://FakeURL	O	URL
@FakeUsername	O	USR
#FakeHashtag	O	HT
#FakeHashtag	O	HT
#FakeHashtag	O	HT
#FakeHashtag	O	HT
		
@FakeUsername	O	USR
:	O	:
Sarkozy	B-PER	NNP
says	O	VBZ
#FakeHashtag	O	HT
shield	O	NN
intended	O	VBD
to	O	TO
protect	O	VB
against	O	IN
Iran	B-LOC	NNP
http://FakeURL	O	URL
@FakeUsername	O	USR
@FakeUsername	O	USR
#FakeHashtag	O	HT
#FakeHashtag	O	HT
''	O	''
		
@FakeUsername	O	USR
:	O	:
RT	O	RT
@FakeUsername	O	USR
:	O	:
New	B-LOC	JJ
Orleans	I-LOC	NNP
residents	O	NNS
warned	O	VBD
to	O	TO
boil	O	VB
water	O	NN
:	O	:
NEW	B-LOC	NNP
ORLEANS	I-LOC	NNP
,	O	,
Nov	O	NNP
0	O	0
20	O	CD
(	O	(
UPI	O	NNP
)	O	)
(	O	(
cont	O	VBN
)	O	)
http://FakeURL	O	URL
		
_	O	_UH
@FakeUsername	O	USR
:	O	:
RT	O	RT
@FakeUsername	O	USR
:	O	:
Twanking	O	NNP
(	O	(
vb	O	NNP
0	O	0
)	O	)
:	O	:
The	O	DT
act	O	NN
of	O	IN
pleasuring	O	VBG
oneself	O	PRP
via	O	IN
the	O	DT
medium	O	NN
of	O	IN
Twitter	B-ORG	NNP
#FakeHashtag	O	HT
_	O	_UH
		
_	O	_UH
@FakeUsername	O	USR
:	O	:
Whilst	O	IN
99.00%	O	CD
of	O	IN
the	O	DT
Labour	B-ORG	NNP
Party	I-ORG	NNP
are	O	VBP
to	O	TO
the	O	DT
left	O	NN
of	O	IN
me	O	PRP
unless	O	IN
the	O	DT
membership	O	NN
is	O	VBZ
infinite	O	JJ
you	O	PRP
(	O	(
cont	O	VBN
)	O	)
http://FakeURL	O	URL
		
_	O	_UH
@FakeUsername	O	USR
:	O	:
Two	O	CD
million	O	CD
sign	O	NN
up	O	RP
for	O	IN
Olympics	B-MISC	NNP
http://FakeURL	O	URL
		
_	O	_UH
@FakeUsername	O	USR
:	O	:
Australia	B-LOC	NNP
protesters	O	NNS
sew	O	NN
up	O	RP
lips	O	NNS
http://FakeURL	O	URL
		
_	O	_UH
@FakeUsername	O	USR
:	O	:
Banksy	B-PER	JJ
film	O	NN
makes	O	VBZ
Oscar	B-MISC	NNP
longlist	O	JJ
http://FakeURL	O	URL
		
_	O	_UH
@FakeUsername	O	USR
:	O	:
Beijing	B-LOC	NNP
to	O	TO
host	O	VB
2015	B-MISC	CD
World	I-MISC	NNP
Champs	I-MISC	NNP
http://FakeURL	O	URL
		
_	O	_UH
@FakeUsername	O	USR
:	O	:
Namibia	B-LOC	NNP
alert	O	NN
was	O	VBD
`security	O	JJ
test	O	NN
'	O	''
http://FakeURL	O	URL
		
_	O	_UH
@FakeUsername	O	USR
:	O	:
Blast	O	NN
in	O	IN
South	B-LOC	NNP
Island	I-LOC	NNP
,	O	,
New	B-LOC	NNP
Zealand	I-LOC	NNP
,	O	,
coal	O	NN
mine	O	NN
leaves	O	VBZ
30	O	CD
miners	O	NNS
unaccounted	O	JJ
for	O	IN
-	O	:
Reuters	B-ORG	NNP
		
_	O	_UH
@FakeUsername	O	USR
:	O	:
Nobel	B-MISC	NNP
Peace	I-MISC	NNP
Prize	I-MISC	NNP
may	O	MD
not	O	RB
be	O	VB
handed	O	VBN
out	O	RP
with	O	IN
no	O	DT
one	O	NN
from	O	IN
China	B-LOC	NNP
dissident	O	NN
