2,000	O	2,000	CD
fetuses	O	fetus	NNS
found	O	find	VBD
hidden	O	hide	VBN
at	O	at	IN
Thai	B-LOC	Thai	NNP
Buddhist	I-LOC	Buddhist	NNP
temple	I-LOC	temple	NN
http://FakeURL	O	http://fakeurl	URL
via	O	via	IN
@FakeUsername	O	@fakeusername	USR
			
870	O	870	CD
,	O	,	,
000	O	000	CD
people	O	people	NNS
in	O	in	IN
canada	B-LOC	canada	NNP
depend	O	depend	VBP
on	O	on	IN
#FakeHashtag	O	#fakehashtag	HT
-25%	O	-25%	CD
increase	O	increase	NN
in	O	in	IN
the	O	the	DT
last	O	last	JJ
2	O	2	CD
years	O	year	NNS
-	O	-	:
please	O	please	VB
give	O	give	VB
generously	O	generously	RB
			
7961212234	O	7961212234	CD
,	O	,	,
phone	O	phone	NN
this	O	this	DT
girl	O	girl	NN
!	O	!	0
she	O	she	PRP
is	O	be	VBZ
like	O	like	IN
louis	B-PER	loui	NNP
biggest	O	biggest	JJS
fan	O	fan	NN
!	O	!	0
<	O	<	SYM
3	O	3	CD
@FakeUsername	O	@fakeusername	USR
live	O	live	VB
on	O	on	IN
http://FakeURL	O	http://fakeurl	URL
)	O	)	)
			
@FakeUsername	O	@fakeusername	USR
:	O	:	:
WikiLeaks	B-ORG	WikiLeaks	NNP
Set	O	set	NNP
To	O	to	TO
Reveal	O	reveal	VB
US-UFO	O	US-UFO	NNP
War	O	War	NNP
In	O	in	IN
Southern	B-LOC	Southern	NNP
Ocean	I-LOC	Ocean	NNP
:	O	:	:
http://FakeURL	O	http://fakeurl	URL
)	O	)	)
I'm	O	I'm	VBP
a	O	a	DT
huge	O	huge	JJ
fan	O	fan	NN
of	O	of	IN
@FakeUsername	O	@fakeusername	USR
bt	O	bt	CC
this	O	this	DT
is	O	be	VBZ
wrong	O	wrong	JJ
			
@FakeUsername	O	@fakeusername	USR
queen	B-ORG	queen	NN
,	O	,	,
bohemian	O	bohemian	JJ
rhapsody	O	rhapsody	NN
please	O	please	VB
			
cheryl	B-PER	cheryl	NNP
cole	I-PER	cole	NNP
is	O	be	VBZ
starting	O	start	VBG
to	O	to	TO
lose	O	lose	VB
that	O	that	DT
connection	O	connection	NN
with	O	with	IN
me	O	I	PRP
!	O	!	0
But	O	but	CC
Danni	B-PER	Danni	NNP
has	O	have	VBZ
maintained	O	maintain	VBN
the	O	the	DT
steady	O	steady	JJ
eddie	B-PER	eddie	NNP
feel	O	feel	VBP
to	O	to	TO
me	O	I	PRP
!!?	O	!!?	0
What	O	what	WP
you	O	you	PRP
think	O	think	VBP
?	O	,	0
			
Lester	B-ORG	Lester	NNP
,	O	,	,
''	O	''	''
Mason	B-MISC	Mason	NNP
&	I-MISC	&	CC
Begg	I-MISC	Begg	NNP
Limited	I-MISC	Limited	NNP
:	O	:	0
''	O	''	''
''	O	''	''
`Forbidden	O	`Forbidden	NNP
Fruit	O	Fruit	NNP
'	O	'	POS
calls	O	call	NNS
on	O	on	IN
all	O	all	DT
of	O	of	IN
us	O	we	PRP
to	O	to	TO
examine	O	examine	VB
the	O	the	DT
long	O	long	JJ
history	O	history	NN
of	O	of	IN
censoring	O	censor	VBG
ideas	O	idea	NNS
''	O	''	0
''	O	''	''
http://FakeURL	O	http://fakeurl	URL
''	O	''	''
			
To	O	to	TO
be	O	be	VB
successful	O	successful	JJ
,	O	,	,
you	O	you	PRP
have	O	have	VBP
to	O	to	TO
have	O	have	VB
your	O	you	PRP$
heart	O	heart	NN
in	O	in	IN
your	O	you	PRP$
business	O	business	NN
,	O	,	,
and	O	and	CC
your	O	you	PRP$
business	O	business	NN
in	O	in	IN
your	O	you	PRP$
heart	O	heart	NN
.	O	.	0
Thomas	B-PER	Thomas	NNP
Watson	I-PER	Watson	NNP
,	O	,	,
Sr.	O	Sr.	NNP
			
Sanchez	B-PER	Sanchez	NNP
looks	O	look	VBZ
like	O	like	IN
Eli	B-PER	Eli	NNP
Wallach	I-PER	Wallach	NNP
in	O	in	IN
The	B-MISC	the	DT
Good	I-MISC	good	JJ
,	I-MISC	,	,
The	I-MISC	the	DT
Bad	I-MISC	bad	JJ
and	I-MISC	and	CC
the	I-MISC	the	DT
Ugly	I-MISC	ugly	JJ
with	O	with	IN
that	O	that	DT
facial	O	facial	JJ
scruff	O	scruff	NN
.	O	.	0
			
@FakeUsername	O	@fakeusername	USR
the	O	the	DT
history	O	history	NN
of	O	of	IN
the	O	the	DT
mayor	O	mayor	NN
,	O	,	,
the	O	the	DT
city	O	city	NNP
.	O	.	0
			
`Entertainment	O	`Entertainment	NN
Tonight	I-MISC	Tonight	NN
'	O	'	''
creator	O	creator	NN
dies	O	die	VBZ
at	O	at	IN
80	O	80	CD
-	O	-	:
Yahoo	B-ORG	Yahoo	NNP
!	I-ORG	!	0
News	I-ORG	News	NNP
http://FakeURL	O	http://fakeurl	URL
			
`The	O	`The	NNP
truth	O	truth	NN
will	O	will	MD
always	O	always	RB
win	O	win	NNP
'	O	'	POS
-	O	-	:
Julian	B-PER	Julian	NNP
Assange	I-PER	Assange	NNP
writes	O	write	VBZ
#FakeHashtag	O	#fakehashtag	HT
			
@FakeUsername	O	@fakeusername	USR
:	O	:	:
The	B-MISC	the	DT
Day	I-MISC	day	NN
After	I-MISC	after	IN
in	O	in	IN
#FakeHashtag	O	#fakehashtag	HT
#FakeHashtag	O	#fakehashtag	HT
(	O	(	(
Broadway	B-LOC	Broadway	NNP
&	I-LOC	&	CC
4th	I-LOC	4th	JJ
Street	I-LOC	street	NN
)	O	)	)
http://FakeURL	O	http://fakeurl	URL
(	O	(	(
via	O	via	IN
@FakeUsername	O	@fakeusername	USR
)	O	)	)
''	O	''	''
			
@FakeUsername	O	@fakeusername	USR
:	O	:	:
No	O	No	DT
equal	O	equal	JJ
pay	O	pay	NN
for	O	for	IN
women	O	woman	NNS
,	O	,	,
no	O	No	DT
unemployment	O	unemployment	NN
benefits	O	benefit	NNS
,	O	,	,
no	O	No	DT
repeal	O	repeal	NN
of	O	of	IN
DADT	O	DADT	NNP
,	O	,	,
No	O	No	NNP
,	O	,	,
No	O	No	NNP
,	O	,	,
No	O	No	DT
SS	O	ss	NNP
,	O	,	,
no	O	No	DT
medicare	O	medicare	NN
#FakeHashtag	O	#fakehashtag	HT
''	O	''	''
			
@FakeUsername	O	@fakeusername	USR
:	O	:	:
The	O	the	DT
beautiful	O	beautiful	JJ
empty	O	empty	JJ
streets	O	street	NNS
of	O	of	IN
Beirut	B-LOC	Beirut	NNP
\*	O	\*	SYM
sigh	O	sigh	NN
\*	O	\*	SYM
''	O	''	''
(=	O	(=	UH
=	O	=	UH
panoramic	O	panoramic	JJ
view	O	view	NN
;)	O	;)	UH
#FakeHashtag	O	#fakehashtag	HT
#FakeHashtag	O	#fakehashtag	HT
			
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Iran	B-LOC	Iran	NNP
sets	O	set	VBZ
February	O	February	NNP
trial	O	trial	NN
date	O	date	NN
for	O	for	IN
3	O	3	CD
Americans	O	Americans	NNS
-	O	-	:
AP	O	ap	NNP
http://FakeURL	O	http://fakeurl	URL
@FakeUsername	O	@fakeusername	USR
#FakeHashtag	O	#fakehashtag	HT
#FakeHashtag	O	#fakehashtag	HT
#FakeHashtag	O	#fakehashtag	HT
#FakeHashtag	O	#fakehashtag	HT
			
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Sarkozy	B-PER	Sarkozy	NNP
says	O	say	VBZ
#FakeHashtag	O	#fakehashtag	HT
shield	O	shield	NN
intended	O	intend	VBD
to	O	to	TO
protect	O	protect	VB
against	O	against	IN
Iran	B-LOC	Iran	NNP
http://FakeURL	O	http://fakeurl	URL
@FakeUsername	O	@fakeusername	USR
@FakeUsername	O	@fakeusername	USR
#FakeHashtag	O	#fakehashtag	HT
#FakeHashtag	O	#fakehashtag	HT
''	O	''	''
			
@FakeUsername	O	@fakeusername	USR
:	O	:	:
RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
New	B-LOC	New	JJ
Orleans	I-LOC	Orleans	NNP
residents	O	resident	NNS
warned	O	warn	VBD
to	O	to	TO
boil	O	boil	VB
water	O	water	NN
:	O	:	:
NEW	B-LOC	New	NNP
ORLEANS	I-LOC	Orleans	NNP
,	O	,	,
Nov	O	Nov	NNP
.	O	.	0
20	O	20	CD
(	O	(	(
UPI	O	upi	NNP
)	O	)	)
(	O	(	(
cont	O	cont	VBN
)	O	)	)
http://FakeURL	O	http://fakeurl	URL
			
_	O	_	_UH
@FakeUsername	O	@fakeusername	USR
:	O	:	:
RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Twanking	O	twanking	NNP
(	O	(	(
vb	O	vb	NNP
.	O	.	0
)	O	)	)
:	O	:	:
The	O	the	DT
act	O	act	NN
of	O	of	IN
pleasuring	O	pleasure	VBG
oneself	O	oneself	PRP
via	O	via	IN
the	O	the	DT
medium	O	medium	NN
of	O	of	IN
Twitter	B-ORG	Twitter	NNP
#FakeHashtag	O	#fakehashtag	HT
_	O	_	_UH
			
_	O	_	_UH
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Whilst	O	whilst	IN
99%	O	99%	CD
of	O	of	IN
the	O	the	DT
Labour	B-ORG	Labour	NNP
Party	I-ORG	Party	NNP
are	O	be	VBP
to	O	to	TO
the	O	the	DT
left	O	left	NN
of	O	of	IN
me	O	I	PRP
unless	O	unless	IN
the	O	the	DT
membership	O	membership	NN
is	O	be	VBZ
infinite	O	infinite	JJ
you	O	you	PRP
(	O	(	(
cont	O	cont	VBN
)	O	)	)
http://FakeURL	O	http://fakeurl	URL
			
_	O	_	_UH
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Two	O	two	CD
million	O	million	CD
sign	O	sign	NN
up	O	up	RP
for	O	for	IN
Olympics	B-MISC	Olympics	NNP
http://FakeURL	O	http://fakeurl	URL
			
_	O	_	_UH
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Australia	B-LOC	Australia	NNP
protesters	O	protester	NNS
sew	O	sew	NN
up	O	up	RP
lips	O	lip	NNS
http://FakeURL	O	http://fakeurl	URL
			
_	O	_	_UH
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Banksy	B-PER	Banksy	JJ
film	O	film	NN
makes	O	make	VBZ
Oscar	B-MISC	Oscar	NNP
longlist	O	longlist	JJ
http://FakeURL	O	http://fakeurl	URL
			
_	O	_	_UH
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Beijing	B-LOC	Beijing	NNP
to	O	to	TO
host	O	host	VB
2015	B-MISC	2015	CD
World	I-MISC	World	NNP
Champs	I-MISC	Champs	NNP
http://FakeURL	O	http://fakeurl	URL
			
_	O	_	_UH
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Namibia	B-LOC	Namibia	NNP
alert	O	alert	NN
was	O	be	VBD
`security	O	`security	JJ
test	O	test	NN
'	O	'	''
http://FakeURL	O	http://fakeurl	URL
			
_	O	_	_UH
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Blast	O	blast	NN
in	O	in	IN
South	B-LOC	South	NNP
Island	I-LOC	Island	NNP
,	O	,	,
New	B-LOC	New	NNP
Zealand	I-LOC	Zealand	NNP
,	O	,	,
coal	O	coal	NN
mine	O	mine	NN
leaves	O	leave	VBZ
30	O	30	CD
miners	O	miner	NNS
unaccounted	O	unaccounted	JJ
for	O	for	IN
-	O	-	:
Reuters	B-ORG	Reuters	NNP
			
_	O	_	_UH
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Nobel	B-MISC	Nobel	NNP
Peace	I-MISC	Peace	NNP
Prize	I-MISC	Prize	NNP
may	O	may	MD
not	O	not	RB
be	O	be	VB
handed	O	hand	VBN
out	O	out	RP
with	O	with	IN
no	O	No	DT
one	O	one	NN
from	O	from	IN
China	B-LOC	China	NNP
dissident	O	dissident	NN
Liu	B-PER	Liu	NNP
Xiaobo's	I-PER	Xiaobo's	NNP
family	O	family	NN
(	O	(	(
cont	O	cont	VBN
)	O	)	)
http://FakeURL	O	http://fakeurl	URL
			
_	O	_	_UH
@FakeUsername	O	@fakeusername	USR
:	O	:	:
In	O	in	IN
case	O	case	NN
you	O	you	PRP
missed	O	miss	VBD
this	O	this	DT
week's	O	week's	NN
crappy	O	crappy	JJ
#FakeHashtag	O	#fakehashtag	HT
#FakeHashtag	O	#fakehashtag	HT
emails	O	email	NNS
,	O	,	,
you	O	you	PRP
can	O	can	MD
find	O	find	VB
them	O	they	PRP
all	O	all	DT
(	O	(	(
84	O	84	CD
!	O	!	0
)	O	)	)
(	O	(	(
cont	O	cont	VBN
)	O	)	)
http://FakeURL	O	http://fakeurl	URL
			
_	O	_	_UH
@FakeUsername	O	@fakeusername	USR
:	O	:	:
The	O	the	DT
#FakeHashtag	O	#fakehashtag	HT
Daily	O	Daily	NNP
is	O	be	VBZ
out	O	out	RP
-	O	-	:
read	O	read	VB
this	O	this	DT
Twitter	B-ORG	Twitter	NNP
newspaper	O	newspaper	NN
on	O	on	IN
http://FakeURL	O	http://fakeurl	URL
(	O	(	(
688	O	688	CD
contributions	O	contribution	NNS
today	O	today	NN
)	O	)	)
			
_	O	_	_UH
@FakeUsername	O	@fakeusername	USR
:	O	:	:
#FakeHashtag	O	#fakehashtag	HT
Power	O	Power	NN
_	O	_	_UH
The	O	the	DT
Home	B-ORG	Home	NN
Office	I-ORG	Office	NN
have	O	have	VBP
finally	O	finally	RB
asked	O	ask	VBN
for	O	for	IN
Your	O	you	PRP$
opinion	O	opinion	NN
on	O	on	IN
the	O	the	DT
Extradition	O	Extradition	NNP
Act	O	act	NNP
2003	O	2003	CD
(	O	(	(
cont	O	cont	VBN
)	O	)	)
http://FakeURL	O	http://fakeurl	URL
			
_	O	_	_UH
@FakeUsername	O	@fakeusername	USR
:	O	:	:
The	O	the	DT
Republican	B-ORG	Republican	NNP
Party	I-ORG	Party	NNP
is	O	be	VBZ
the	O	the	DT
cancer	O	cancer	NN
to	O	to	TO
America's	B-LOC	America's	NNP
Progress	O	Progress	NNP
!	O	!	0
#FakeHashtag	O	#fakehashtag	HT
#FakeHashtag	O	#fakehashtag	HT
#FakeHashtag	O	#fakehashtag	HT
#FakeHashtag	O	#fakehashtag	HT
