RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Christian	O	Christian	NNP
Bale	O	Bale	NNP
Thinks	O	Thinks	VBZ
The	O	the	DT
Dark	O	dark	NNP
Knight	O	Knight	NNP
Rises	O	Rises	NNPS
Will	O	will	MD
be	O	be	VB
his	O	he	PRP$
Last	O	last	JJ
Batman	O	Batman	NNP
Movie	O	movie	NN
http://FakeURL	O	http://fakeurl	URL

RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
KANYE	O	KANYE	NNP
WEST	O	WEST	NNP
DARK	O	DARK	NNP
TWISTED	O	twist	NNP
FANTASY-11/22/10	O	fantasy-11/22/10	CD

RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
#FakeHashtag	O	#fakehashtag	HT
:	O	:	:
Netanyahu	O	Netanyahu	NNP
told	O	tell	VBD
Ackerman	O	Ackerman	NNP
that	O	that	IN
he	O	he	PRP
didnt	O	didnt	VBD
feel	O	feel	VB
boxed	O	box	JJ
in	O	in	IN
politically	O	politically	RB
&	O	&	CC
that	O	that	IN
his	O	he	PRP$
coalition	O	coalition	NN
reflects	O	reflect	VBZ
the	O	the	DT
demands	O	demand	NNS
of	O	of	IN
...	O	...	:

"	O	"	''
``RT	O	``rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Netanyahu:''	O	netanyahu:''	NNP
``We	O	``we	NNP
Need	O	need	VBP
to	O	to	TO
expose	O	expose	VB
our	O	we	PRP$
enemies	O	enemy	NNS
''	O	''	''
,	O	,	,
''	O	''	''
delegitimize	O	delegitimize	VBP
those	O	those	DT
that	O	that	WDT
delegitimize	O	delegitimize	VBP
#FakeHashtag	O	#fakehashtag	HT
''''''"	O	''''''"	UH

RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
RT	O	rt	RT
if	O	if	IN
you	O	you	PRP
want	O	want	VBP
@FakeUsername	O	@fakeusername	USR
to	O	to	TO
follow	O	follow	VB
you	O	you	PRP
!	O	!	.
(	O	(	(
she's	O	she'	VBZ
not	O	not	RB
following	O	follow	VBG
me)	O	me)	PRP
!	O	!	.
:	O	:	:
-LRB-	O	-lrb-	NNP

"	O	"	''
RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
@FakeUsername	O	@fakeusername	USR
actually	O	actually	RB
,	O	,	,
it	O	it	PRP
is	O	be	VBZ
in	O	in	IN
Ontario	O	Ontario	NNP
,	O	,	,
Canada	O	Canada	NNP
.	O	.	.
i	O	i	PRP
live	O	live	VBP
in	O	in	IN
a	O	a	DT
place	O	place	NN
with	O	with	IN
80,000	O	80,000	CD
+	O	+	VBP
people	O	people	NNS
,	O	,	,
they	O	they	PRP
call	O	call	VBP
it	O	it	PRP
a	O	a	DT
small	O	small	JJ
town	O	town	NN
.	O	.	.
"	O	"	''

``RT	O	``rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
I	O	I	PRP
Miss	O	Miss	VBP
The	O	The	DT
Summer	O	Summer	NN
Days	O	day	NNS
Smh	O	Smh	VBD
\*	O	\*	SYM
Sighs	O	sigh	VBZ
\*''''/''	O	\*''''/''	UH

RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
http://FakeURL	O	http://fakeurl	URL
-	O	-	:
Bill	O	Bill	NNP
Maher's	O	Maher's	NNP
Political	O	Political	NNP
World	O	World	NNP
:	O	:	:
The	O	the	DT
comic	O	comic	NN
brings	O	bring	VBZ
his	O	he	PRP$
take	O	take	NN
no	O	no	DT
prisoners	O	prisoner	NNS
approach	O	approach	VBP
to	O	to	TO
Caesars	O	Caesars	NNP
Atlantic	O	Atlantic	NNP
...	O	...	:

RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
All	O	all	DT
Billy	O	Billy	NNP
Cox	O	Cox	NNP
books	O	book	NNS
ordered	O	order	VBD
this	O	this	DT
holiday	O	holiday	NN
season	O	season	NN
will	O	will	MD
be	O	be	VB
autographed	O	autograph	VBN
for	O	for	IN
you	O	you	PRP
and	O	and	CC
your	O	you	PRP$
team	O	team	NN
.	O	.	.
http://FakeURL	O	http://fakeurl	URL

RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
God	O	God	NNP
works	O	work	VBZ
where	O	where	WRB
there	O	there	EX
is	O	be	VBZ
an	O	a	DT
attitude	O	attitude	NN
of	O	of	IN
faith	O	faith	NN
.	O	.	.
-	O	-	:
Joel	O	Joel	NNP
Osteen	O	Osteen	NNP
#FakeHashtag	O	#fakehashtag	HT

RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
The	O	the	DT
future	O	future	NN
belongs	O	belong	VBZ
to	O	to	TO
those	O	those	DT
who	O	who	WP
give	O	give	VBP
the	O	the	DT
next	O	next	JJ
generation	O	generation	NN
reason	O	reason	NN
for	O	for	IN
hope	O	hope	NN
.	O	.	.
-Pierre	O	-pierre	NNP
Teilhard	O	Teilhard	NNP
De	O	De	NNP
Chardin	O	Chardin	NNP

"	O	"	''
RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Julian	O	Julian	NNP
Fantino	O	Fantino	NNP
is	O	be	VBZ
so	O	so	RB
tough	O	tough	JJ
that	O	that	IN
if	O	if	IN
he	O	he	PRP
landed	O	land	VBD
on	O	on	IN
my	O	my	PRP$
plate	O	plate	NN
in	O	in	IN
a	O	a	DT
steakhouse	O	steakhouse	NN
,	O	,	,
I'd	O	i'd	PRP
send	O	send	VBP
him	O	he	PRP
back	O	back	RB
.	O	.	.
#FakeHashtag	O	#fakehashtag	HT
!	O	!	.
"	O	"	''

RT	O	rt	RT
@FakeUsername	O	@fakeusername	USR
:	O	:	:
Dominic	O	Dominic	NNP
McGuire	O	McGuire	NNP
returned	O	return	VBD
from	O	from	IN
a	O	a	DT
stress	O	stress	NN
fracture	O	fracture	NN
in	O	in	IN
his	O	he	PRP$
shin	O	shin	NN
to	O	to	TO
practice	O	practice	NN
for	O	for	IN
the	O	the	DT
first	O	first	JJ
